run_id,sender,receiver,size_bits,propagation_delay,transmission_delay,processing_delay,queuing_delay,total_delay,packet_lost,timestamp
7,Vehicle,ECA,5248,0.004025212015125827,0.0008746666666666667,0.0013397258818331097,0.0008278715168050592,0.0070674760804306635,True,1776668109.3765163
8,Vehicle,ECA,1256,0.008550647925766878,0.00020933333333333334,0.004861560870840971,0.0008075393604884422,0.014429081490429626,False,1776668109.6014733
8,Vehicle,ECA,5256,0.0020380981620095116,0.000876,0.0012215875415379385,0.0008624582435146193,0.004998143947062069,False,1776668109.601475
8,Vehicle,TMA,13320,0.002140153710238923,0.00222,0.003766056166775212,0.0014896478658397304,0.009615857742853865,False,1776668109.6014771
9,Vehicle,ECA,1256,0.004956326775176699,0.00020933333333333334,0.004708156495239672,0.002255427522678809,0.012129244126428513,False,1776668109.8443735
9,Vehicle,ECA,5256,0.0032592621660221047,0.000876,0.004909669294862642,0.002664238620105775,0.011709170080990521,False,1776668109.844376
9,Vehicle,TMA,13328,0.006513461113257731,0.0022213333333333334,0.004542306804308992,0.002986183743152934,0.016263284994052992,False,1776668109.8443775
10,Vehicle,ECA,1256,0.004390734142869852,0.00020933333333333334,0.0022616388026733937,0.0024318695197588043,0.009293575798635382,False,1776668110.1408355
10,Vehicle,ECA,5248,0.005138731653022368,0.0008746666666666667,0.0031099341285025965,0.0024969705282701063,0.011620302976461737,False,1776668110.1408377
10,Vehicle,TMA,13352,0.008140931607060116,0.0022253333333333335,0.0011496717833303692,0.0021666061878631,0.01368254291158692,True,1776668110.1408389
11,Vehicle,ECA,1256,0.007665039833761548,0.00020933333333333334,0.0016202273250723116,0.0006366572849007212,0.010131257777067915,False,1776668110.410371
11,Vehicle,ECA,5256,0.0074390746770788396,0.000876,0.0045097198322599785,0.0027541608778524854,0.015578955387191304,False,1776668110.410373
11,Vehicle,TMA,13304,0.009907928135590667,0.0022173333333333333,0.002318403346117046,0.001875987927933757,0.016319652742974804,False,1776668110.4103742
12,Vehicle,ECA,1256,0.002105154792018619,0.00020933333333333334,0.0049161129369337106,0.0020649244629702577,0.009295525525255921,False,1776668110.6445591
12,Vehicle,ECA,5248,0.008310317321652827,0.0008746666666666667,0.004861213602611443,0.0012185850000565532,0.01526478259098749,False,1776668110.644561
12,Vehicle,TMA,13304,0.0010703751096039543,0.0022173333333333333,0.0034790521990896725,0.00128745372791291,0.008054214369939871,False,1776668110.6445627
13,Vehicle,ECA,1256,0.0020223634431627054,0.00020933333333333334,0.00156940924594382,0.0009008046590357362,0.004701910681475595,False,1776668110.8655224
13,Vehicle,ECA,5232,0.003982649403780721,0.000872,0.003956576514646669,0.0019182813043845486,0.010729507222811938,False,1776668110.8655243
13,Vehicle,TMA,13288,0.0030780798457920077,0.002214666666666667,0.004686817317632515,0.0011837259858051695,0.01116328981589636,False,1776668110.8655255
14,Vehicle,ECA,1256,0.004999554215677495,0.00020933333333333334,0.002565520088331422,0.002639072504939195,0.010413480142281445,False,1776668111.1230822
14,Vehicle,ECA,5248,0.003063174373500491,0.0008746666666666667,0.004275034885090989,0.0023495626133060023,0.010562438538564149,False,1776668111.1230836
14,Vehicle,TMA,13304,0.0018320061580273132,0.0022173333333333333,0.00276052497406162,0.0013570569534043114,0.008166921418826578,False,1776668111.1230845
